日期,股票代码,股票名称,连板数,第一次封板时间,最后封板时间,炸板次数,尾盘是否封板,封单金额_亿元,封单量,封单比,第二日开盘收益,第二日最高收益,第二日最低收益,第二日收盘收益,第三日收益,是否连板,涨停类型,第一次封板秒数,最后封板秒数,第一次封板分钟_距0930,最后封板分钟_距0930,首封时间段,炸板次数分组
2026-06-11,600459,贵研铂业,1.0,09:39:51,09:39:51,0.0,,1.22124996,,,0.0530973451327434,0.0716009654062752,-0.0128720836685438,-0.0048270313757039,0.0353982300884956,False,首板,34791.0,34791.0,9.85,9.85,09:30-10:00,0次
2026-06-11,600470,六国化工,1.0,09:30:09,09:30:09,0.0,,0.40719331,,,0.0052910052910053,0.0952380952380953,-0.0634920634920636,0.0564373897707231,0.0299823633156965,False,首板,34209.0,34209.0,0.15,0.15,09:30-10:00,0次
2026-06-11,600500,中化国际,3.0,09:25:01,09:25:01,0.0,,3.03417377,,,0.0957004160887655,0.0998613037447988,0.0374479889042995,0.0998613037447988,0.1428571428571428,True,三板,33901.0,33901.0,-4.983333333333333,-4.983333333333333,09:25-09:30,0次
2026-06-11,600722,金牛化工,1.0,11:17:43,13:24:46,2.0,,0.45742632,,,-0.0092421441774491,0.0323475046210721,-0.0545286506469501,-0.0452865064695009,-0.1155268022181146,False,首板,40663.0,48286.0,107.71666666666668,234.76666666666668,10:00-11:30,2-3次
2026-06-11,600979,广安爱众,1.0,09:59:50,09:59:50,0.0,,0.97000659,,,0.0,0.0020040080160319,-0.0581162324649299,-0.0521042084168336,-0.0440881763527055,False,首板,35990.0,35990.0,29.83333333333333,29.83333333333333,09:30-10:00,0次
2026-06-11,601958,金钼股份,1.0,09:37:18,09:38:24,1.0,,3.42819022,,,0.1,0.1,0.1,0.1,0.2099137931034482,True,首板,34638.0,34704.0,7.3,8.4,09:30-10:00,1次
2026-06-11,603014,威高血净,1.0,09:36:13,09:36:13,0.0,,0.5587712,,,0.0264980427582053,0.0999698885877746,0.0246913580246914,0.0999698885877746,0.0557061126166817,True,首板,34573.0,34573.0,6.216666666666667,6.216666666666667,09:30-10:00,0次
2026-06-11,603065,XD宿迁联,3.0,09:25:02,09:25:02,0.0,,1.70619281,,,0.1003236245954692,0.1003236245954692,0.1003236245954692,0.1003236245954692,0.0841423948220065,True,三板,33902.0,33902.0,-4.966666666666667,-4.966666666666667,09:25-09:30,0次
2026-06-11,603155,新亚强,2.0,09:34:04,13:30:07,1.0,,0.29922516,,,-0.0525477707006369,-0.0095541401273886,-0.0999203821656051,-0.0999203821656051,-0.1110668789808918,False,二板,34444.0,48607.0,4.066666666666666,240.11666666666667,09:30-10:00,1次
2026-06-11,603315,福鞍股份,1.0,09:52:21,09:52:21,0.0,,0.98393262,,,-0.0296969696969695,0.0387878787878788,-0.0296969696969695,-0.0151515151515151,-0.0127272727272728,False,首板,35541.0,35541.0,22.35,22.35,09:30-10:00,0次
2026-06-11,603318,水发燃气,1.0,14:13:26,14:13:26,0.0,,0.38152005,,,-0.0456852791878171,0.0,-0.0751269035532995,-0.0700507614213197,-0.1096446700507614,False,首板,51206.0,51206.0,283.43333333333334,283.43333333333334,14:00-15:00,0次
2026-06-11,603324,盛剑科技,1.0,09:45:32,09:45:32,0.0,,0.75463227,,,0.0381318356488322,0.0999113213124447,-0.0020691693762932,-0.0020691693762932,0.012710611882944,True,首板,35132.0,35132.0,15.533333333333331,15.533333333333331,09:30-10:00,0次
2026-06-11,603355,莱克电气,1.0,13:40:00,13:40:00,0.0,,0.342453,,,-0.0018484288354898,0.0203327171903882,-0.0402957486136783,0.0129390018484287,0.0417744916820701,False,首板,49200.0,49200.0,250.0,250.0,13:00-14:00,0次
2026-06-11,603399,永杉锂业,1.0,13:00:09,13:00:09,0.0,,0.99066982,,,0.029718456725756,0.0860271115745567,0.0010427528675702,0.0662148070907195,0.1115745568300312,False,首板,46809.0,46809.0,210.15,210.15,13:00-14:00,0次
2026-06-11,603657,春光科技,1.0,09:50:08,09:50:08,0.0,,0.67720744,,,0.0098116169544741,0.0109890109890109,-0.1000784929356358,-0.1000784929356358,-0.1000784929356358,False,首板,35408.0,35408.0,20.133333333333333,20.133333333333333,09:30-10:00,0次
2026-06-11,603678,火炬电子,1.0,13:14:09,13:14:42,1.0,,2.46762178,,,0.0148602810531417,0.028912938136004,-0.0793086738814408,-0.0607333225650137,0.0332741075755129,False,首板,47649.0,47682.0,224.15,224.7,13:00-14:00,1次
2026-06-11,603936,博敏电子,1.0,10:44:18,10:44:18,0.0,,1.00514638,,,0.0539856600590467,0.0847743568114718,-0.0177140447068747,-0.0130746520455504,0.0531421341206241,False,首板,38658.0,38658.0,74.3,74.3,10:00-11:30,0次
2026-06-11,603991,领先股份,1.0,14:43:36,14:43:36,0.0,,0.47819538,,,0.0309458447716497,0.044006322269362,-0.0014973795857249,0.0194659346144248,-0.0158888611596372,False,首板,53016.0,53016.0,313.6,313.6,14:00-15:00,0次
2026-06-11,603992,松霖科技,1.0,10:43:18,10:43:18,0.0,,0.43037304,,,-0.0003133813851458,0.0501410216233155,-0.0109683484801003,0.0401128172986524,0.0560952679410844,False,首板,38598.0,38598.0,73.3,73.3,10:00-11:30,0次
2026-06-11,605069,正和生态,1.0,09:37:29,09:37:29,0.0,,0.37654386,,,-0.0129870129870129,0.0303030303030302,-0.0874458874458875,-0.0562770562770562,-0.0822510822510823,False,首板,34649.0,34649.0,7.483333333333333,7.483333333333333,09:30-10:00,0次
2026-06-12,000032,深桑达Ａ,2.0,13:17:57,15:00:00,29.0,,0.03416952,,,0.014799154334038,0.0998942917547567,-0.008985200845666,0.0998942917547567,0.2098308668076109,True,二板,47877.0,54000.0,227.95,330.0,13:00-14:00,4次及以上
2026-06-12,000099,中信海直,1.0,09:52:36,09:55:18,1.0,,0.76563765,,,0.0166570936243537,0.0189546237794369,-0.0172314761631247,-0.016082711085583,-0.0361860999425617,False,首板,35556.0,35718.0,22.6,25.3,09:30-10:00,1次
2026-06-12,000151,中成股份,1.0,10:16:57,10:16:57,0.0,,0.89473276,,,0.0157819225251076,0.099713055954089,-0.0208034433285508,0.058106169296987,0.033715925394548,True,首板,37017.0,37017.0,46.95,46.95,10:00-11:30,0次
2026-06-12,000506,招金黄金,1.0,10:48:09,10:48:09,0.0,,0.61800212,,,0.0407865986890021,0.099781500364166,0.0327749453750909,0.099781500364166,0.1070648215586307,True,首板,38889.0,38889.0,78.15,78.15,10:00-11:30,0次
2026-06-12,000547,航天发展,1.0,09:37:12,09:39:03,1.0,,2.09392672,,,-0.0319612590799031,-0.0319612590799031,-0.0653753026634381,-0.0353510895883776,-0.0334140435835349,False,首板,34632.0,34743.0,7.2,9.05,09:30-10:00,1次
2026-06-12,000630,铜陵有色,1.0,10:33:57,10:33:57,0.0,,1.69058149,,,0.028169014084507,0.0859154929577465,0.0239436619718309,0.0788732394366198,0.0661971830985916,False,首板,38037.0,38037.0,63.95,63.95,10:00-11:30,0次
2026-06-12,000737,北方铜业,1.0,10:47:51,13:38:57,1.0,,0.29718177,,,0.0007102272727272,0.0717329545454545,0.0007102272727272,0.0696022727272727,0.0447443181818183,False,首板,38871.0,49137.0,77.85,248.95,10:00-11:30,1次
2026-06-12,000751,锌业股份,1.0,10:26:48,10:26:48,0.0,,0.16237609,,,0.0216110019646365,0.0589390962671905,0.0058939096267192,0.0589390962671905,0.0333988212180746,False,首板,37608.0,37608.0,56.8,56.8,10:00-11:30,0次
2026-06-12,000759,中百集团,1.0,13:19:27,13:19:27,0.0,,0.79947373,,,0.0085763293310463,0.0548885077186964,0.0068610634648369,0.020583190394511,0.065180102915952,False,首板,47967.0,47967.0,229.45,229.45,13:00-14:00,0次
2026-06-12,000768,中航西飞,1.0,09:25:00,09:25:00,0.0,,3.30277028,,,-0.0642888595332452,-0.0462351387054161,-0.0704535446939674,-0.0541611624834874,-0.0761778952003522,False,首板,33900.0,33900.0,-5.0,-5.0,09:25-09:30,0次
2026-06-12,000969,安泰科技,1.0,09:31:09,09:34:36,1.0,,2.30791302,,,0.0090684253915911,0.0222588623248145,-0.0288540807914263,-0.0032976092333059,0.0366859027205275,False,首板,34269.0,34476.0,1.15,4.6,09:30-10:00,1次
2026-06-12,001206,依依股份,1.0,13:07:30,13:07:30,0.0,,0.37656096,,,0.0179918746372604,0.0481717933836332,0.0017411491584446,0.0185722576900755,0.0226349390597795,False,首板,47250.0,47250.0,217.5,217.5,13:00-14:00,0次
2026-06-12,001233,海安集团,1.0,14:15:03,14:20:03,2.0,,0.35679187,,,0.0200506131983648,0.0508078645123613,0.0056453182791511,0.0216079423788202,-0.0145999610667705,False,首板,51303.0,51603.0,285.05,290.05,14:00-15:00,2-3次
2026-06-12,001257,盛龙股份,2.0,09:30:00,09:30:00,0.0,,2.86730543,,,0.0782892352301558,0.1003986951794129,0.0637912287060529,0.1003986951794129,0.2109459949256975,True,二板,34200.0,34200.0,0.0,0.0,09:25-09:30,0次
2026-06-12,001299,美能能源,1.0,10:21:48,10:21:48,0.0,,0.69424141,,,0.001779359430605,0.0266903914590745,-0.0364768683274021,-0.0266903914590748,-0.0409252669039146,False,首板,37308.0,37308.0,51.8,51.8,10:00-11:30,0次
2026-06-12,001330,博纳影业,1.0,10:07:57,13:09:45,2.0,,0.96494887,,,0.038189533239038,0.0466760961810466,-0.0452616690240452,-0.0311173974540311,-0.0070721357850072,False,首板,36477.0,47385.0,37.95,219.75,10:00-11:30,2-3次
2026-06-12,001359,平安电工,1.0,09:47:39,14:49:54,17.0,,0.08378348,,,0.020338570210693,0.1003531847521617,0.000243575691146,0.1003531847521617,0.1336012665935939,True,首板,35259.0,53394.0,17.65,319.9,09:30-10:00,4次及以上
2026-06-12,001360,南矿集团,1.0,11:06:27,11:06:27,0.0,,0.09862862,,,0.0080906148867314,0.0776699029126213,-0.0102481121898596,0.0690399137001078,0.1116504854368931,False,首板,39987.0,39987.0,96.45,96.45,10:00-11:30,0次
2026-06-12,001378,德冠新材,1.0,10:58:00,10:58:00,0.0,,0.30189411,,,0.0081730769230767,0.0288461538461537,-0.0201923076923077,-0.0129807692307691,-0.0091346153846154,False,首板,39480.0,39480.0,88.0,88.0,10:00-11:30,0次
2026-06-12,001696,宗申动力,2.0,09:53:33,09:55:21,1.0,,1.64595934,,,-0.0345884413309982,0.0091943957968476,-0.0779334500875656,0.0004378283712784,0.0376532399299474,False,二板,35613.0,35721.0,23.55,25.35,09:30-10:00,1次
2026-06-12,002085,万丰奥威,1.0,09:58:30,10:01:18,1.0,,0.67166672,,,0.0177252584933529,0.0302806499261447,-0.0044313146233381,0.0096011816838996,-0.0147710487444607,False,首板,35910.0,36078.0,28.5,31.3,09:30-10:00,1次
2026-06-12,002088,鲁阳节能,1.0,09:47:03,09:47:03,0.0,,0.21186395,,,0.0069364161849712,0.0508670520231213,0.005780346820809,0.0277456647398843,-0.0046242774566475,False,首板,35223.0,35223.0,17.05,17.05,09:30-10:00,0次
2026-06-12,002190,成飞集成,1.0,10:11:21,10:11:21,0.0,,0.78745303,,,-0.018470631695604,-0.0036941263391208,-0.0321388991503509,-0.0166235685260435,-0.0306612486147026,False,首板,36681.0,36681.0,41.35,41.35,10:00-11:30,0次
2026-06-12,002200,交投生态,1.0,10:15:51,10:15:51,0.0,,0.11965163,,,0.0469897209985317,0.0690161527165933,-0.0073421439060205,-0.0058737151248164,0.0279001468428781,False,首板,36951.0,36951.0,45.85,45.85,10:00-11:30,0次
2026-06-12,002203,海亮股份,2.0,09:30:03,09:43:21,3.0,,2.44185403,,,-0.0187713310580205,0.0878839590443685,-0.0401023890784983,0.05759385665529,0.0452218430034128,False,二板,34203.0,35001.0,0.05,13.35,09:30-10:00,2-3次
2026-06-12,002215,诺 普 信,1.0,10:32:00,10:44:36,2.0,,0.08250296,,,-0.0010438413361169,0.0605427974947807,-0.0073068893528184,0.0480167014613777,0.0073068893528183,False,首板,37920.0,38676.0,62.0,74.6,10:00-11:30,2-3次
2026-06-12,002270,华明装备,1.0,10:15:15,10:15:15,0.0,,1.90015786,,,0.0248385494287133,0.0412319920516641,-0.0089418777943367,0.0208643815201192,0.0457029309488326,False,首板,36915.0,36915.0,45.25,45.25,10:00-11:30,0次
2026-06-12,002345,潮宏基,1.0,10:30:00,10:30:00,0.0,,0.46417584,,,0.0010245901639343,0.0420081967213115,-0.0081967213114754,0.0235655737704918,0.0471311475409836,False,首板,37800.0,37800.0,60.0,60.0,10:00-11:30,0次
2026-06-12,002457,青龙管业,1.0,09:32:06,13:15:57,5.0,,0.39351165,,,-0.0038610038610037,0.0177606177606177,-0.0239382239382238,0.0023166023166023,0.0301158301158301,False,首板,34326.0,47757.0,2.1,225.95,09:30-10:00,4次及以上
2026-06-12,002597,金禾实业,1.0,10:12:15,14:24:12,21.0,,0.06915505,,,0.0022482014388489,0.0161870503597123,-0.0134892086330934,-0.0071942446043165,-0.0535071942446042,False,首板,36735.0,51852.0,42.25,294.2,10:00-11:30,4次及以上
2026-06-12,002637,赞宇科技,1.0,13:24:27,13:24:27,0.0,,0.67238236,,,0.0047770700636942,0.0079617834394905,-0.0310509554140128,-0.0143312101910827,-0.0254777070063694,False,首板,48267.0,48267.0,234.45,234.45,13:00-14:00,0次
2026-06-12,002733,雄韬股份,1.0,09:36:12,09:41:24,1.0,,1.42474716,,,0.0700839849406314,0.0999131190269329,0.0301187373298581,0.0926730379380247,0.0570518389805965,True,首板,34572.0,34884.0,6.2,11.4,09:30-10:00,1次
2026-06-12,002742,冀衡医药,1.0,09:32:24,09:32:24,0.0,,0.47269869,,,0.040767386091127,0.1007194244604317,0.0095923261390886,0.026378896882494,-0.0527577937649879,True,首板,34344.0,34344.0,2.4,2.4,09:30-10:00,0次
2026-06-12,002812,恩捷股份,1.0,13:12:15,13:26:18,4.0,,0.14223383,,,0.0174711282203137,0.0265028131477642,-0.012585134734972,0.0056262955285755,0.03301747112822,False,首板,47535.0,48378.0,222.25,236.3,13:00-14:00,4次及以上
2026-06-12,002830,名雕股份,1.0,09:35:39,09:35:39,0.0,,0.89170574,,,0.0,0.0,-0.0662291169451074,-0.0483293556085919,-0.0912887828162292,False,首板,34539.0,34539.0,5.65,5.65,09:30-10:00,0次
2026-06-12,002882,金龙羽,1.0,13:05:51,13:15:09,1.0,,0.48024234,,,0.0193014705882352,0.0294117647058822,-0.0078125000000001,0.0078125,0.0128676470588233,False,首板,47151.0,47709.0,215.85,225.15,13:00-14:00,1次
2026-06-12,002927,泰永长征,1.0,09:31:39,09:31:39,0.0,,0.53987586,,,-0.0148735746157659,0.0173525037183934,-0.0401586514625682,0.0024789291026274,0.1026276648487851,False,首板,34299.0,34299.0,1.65,1.65,09:30-10:00,0次
2026-06-12,002935,天奥电子,1.0,09:39:51,09:39:51,0.0,,0.41119705,,,-0.0090293453724604,0.0112866817155756,-0.0532731376975169,0.0040632054176072,-0.0121896162528216,False,首板,34791.0,34791.0,9.85,9.85,09:30-10:00,0次
2026-06-12,002969,嘉美包装,1.0,10:04:09,10:12:15,3.0,,0.70491439,,,0.0061012812690663,0.0286760219646124,-0.0543014032946919,-0.0305064063453325,-0.0311165344722391,False,首板,36249.0,36735.0,34.15,42.25,10:00-11:30,2-3次
2026-06-12,002971,和远气体,4.0,09:31:09,14:51:33,57.0,,0.04537946,,,-0.039151431528113,0.0322525008623664,-0.1000344946533287,-0.0215591583304587,0.0208692652638842,False,N板,34269.0,53493.0,1.15,321.55,09:30-10:00,4次及以上
